fid,LATITUDE,LONGITUDE
737395,47.4881,-117.5241
737396,47.5,-117.5
737397,47.50027778,-117.5230556
737398,47.51,-117.51596
737399,47.51351,-117.48937
737400,47.51351,-117.48937
737401,47.51386,-117.47881
737402,47.51386,-117.47881
737403,47.51691,-117.49982
737404,47.517,-117.4866
737405,47.51713,-117.5105
737406,47.5173,-117.48399
737407,47.5176,-117.5187
737408,47.52037,-117.52105
737409,47.52045,-117.51575
737410,47.5216,-117.4897
737411,47.52358,-117.51036
737412,47.52363,-117.51572
737413,47.52363,-117.51572
737414,47.5245481,-117.5052479
737415,47.5263,-117.4801
737416,47.5272,-117.4775
737417,47.52729,-117.48909
737418,47.53075,-117.52108
737419,47.515,-117.4864
737420,47.5261,-117.5161
737421,47.5307,-117.5027
737422,47.5218,-117.5219
737423,47.5154,-117.5195
737424,47.51026,-117.4736
737425,47.51026,-117.4736
737428,47.4911,-117.4712
737429,47.4922,-117.4899
737430,47.5286,-117.504
737431,47.53035,-117.5503
737432,47.52079,-117.4772
737433,47.51674,-117.5199
737434,47.49858,-117.4786
737435,47.51196213,-117.8200819
738224,47.43252,-117.77101
738226,47.41841,-117.8133
738228,47.28015,-117.76614
738232,47.3567,-117.8139
738234,47.36034,-117.81992
738235,47.35307,-117.81987
738237,47.42894904,-117.8160937
738238,47.40889629,-117.7909407
738239,47.43333333,-117.7666667
738241,47.3756,-117.7928
738242,47.3847,-117.8081
738243,47.3669,-117.8006
738249,47.3554,-117.8083
738257,47.42881,-117.78719
738258,47.42881001,-117.7872
738259,47.42768,-117.7682
738261,47.43239,-117.79228
738262,47.43235,-117.79767
738478,47.3669,-117.8142
738479,47.41484,-117.81327
738480,47.3846,-117.8091
738481,47.33488,-117.80875
738482,47.4147,-117.80795
738483,47.41804,-117.80265
738484,47.4215,-117.79744
738485,47.35666,-117.79237
738486,47.3406,-117.7871
738487,47.4216,-117.7857
738488,47.3332,-117.7844
738489,47.3646,-117.7838
738490,47.4231,-117.7836
738491,47.345,-117.7798
738492,47.4035,-117.7623
738493,47.4034,-117.7532
738494,47.2947,-117.74997
738495,47.35674998,-117.7493
738496,47.41512,-117.7436
738497,47.34115537,-117.742065
738498,47.40042,-117.72826
738499,47.42578,-117.72815
738500,47.2672,-117.7258
738501,47.3821,-117.7225
738502,47.3789,-117.8117
738503,47.4214,-117.7756
738504,47.3744,-117.8119
738505,47.2897,-117.7901
738506,47.42279,-117.7976
738507,47.41512,-117.8182
738508,47.41127,-117.817
738509,47.42897,-117.76025
738510,47.42894,-117.7656
738511,47.42574,-117.7619
738529,47.44191,-117.7828
738531,47.51371,-117.81954
738532,47.50647,-117.8195
738533,47.51729,-117.81417
738534,47.4578,-117.8081
738535,47.52045,-117.80348
738536,47.45526,-117.80293
738537,47.47693,-117.79766
738538,47.5133,-117.79276
738539,47.52033,-117.79273
738540,47.45518,-117.7924
738541,47.45153,-117.78708
738542,47.52017001,-117.782
738543,47.51294,-117.78201
738544,47.50961626,-117.7779354
738545,47.49127,-117.7763
738546,47.44086997,-117.7657
738547,47.52004998,-117.7553
738548,47.44102,-117.7497
738549,47.44446001,-117.7443
738550,47.487,-117.7438
738551,47.44437,-117.76575
738552,47.47315,-117.77662
738553,47.52051,-117.81955
738554,47.50202,-117.77125
738555,47.49492,-117.78697
738556,47.46956,-117.78189
738557,47.49922,-117.81925
738558,47.46951,-117.77664
738559,47.4912,-117.76062
738560,47.4587,-117.811
738561,47.4732,-117.8108
738562,47.4978,-117.793
738563,47.4698,-117.7808
738564,47.4677,-117.7713
738565,47.4875,-117.7895
738566,47.4585,-117.7684
738567,47.4884,-117.7943
738568,47.4514,-117.7715
738569,47.4368,-117.7765
738570,47.4777,-117.814
738571,47.4443,-117.7723
738572,47.43594,-117.7859
738573,47.45501,-117.8141
738574,47.5101,-117.8139
738575,47.50746,-117.7818
738576,47.47122,-117.7684
738577,47.51712,-117.7859
738578,47.5171261,-117.7859141
741225,47.5332,-117.5363
741226,47.56490529,-117.5338269
741227,47.55936,-117.53234
741228,47.539,-117.531
741229,47.56044,-117.5295
741230,47.5433,-117.5291
741231,47.57395,-117.52731
741232,47.55817,-117.5273
741233,47.55945997,-117.5269
741234,47.55592,-117.52676
741235,47.54152,-117.52651
741236,47.55822,-117.5265
741237,47.55182,-117.5252
741238,47.57753528,-117.5175862
741239,47.56686,-117.51611
741240,47.56322,-117.51603
741241,47.54874,-117.51572
741242,47.5328,-117.5155
741243,47.56658,-117.5147
741244,47.57417,-117.51099
741245,47.57417,-117.51099
741246,47.56324,-117.51069
741247,47.55603,-117.51049
741248,47.5453,-117.5081
741249,47.55608,-117.50513
741250,47.55247,-117.50502
741251,47.53080998,-117.505
741252,47.57701,-117.5385
741253,47.5471,-117.684
741254,47.5309,-117.682
741255,47.57282,-117.682
741256,47.5839,-117.6808
741257,47.57468,-117.66923
741258,47.53827,-117.66911
741259,47.57831,-117.66387
741260,47.57468,-117.66384
741261,47.5674,-117.66377
741262,47.57417,-117.6637
741263,47.5736,-117.6598
741264,47.54089468,-117.6594366
741265,47.5761,-117.659
741266,47.57468,-117.65849
741267,47.5771,-117.6584
741268,47.56737,-117.65838
741269,47.56737,-117.65838
741270,47.5528,-117.65832
741271,47.58599,-117.6572
741272,47.56904,-117.6649
741273,47.56953,-117.657
741274,47.58536,-117.6573
741275,47.5309,-117.48902
741276,47.53095,-117.48368
741277,47.53808,-117.4942
741278,47.54553,-117.46777
741279,47.55625,-117.48909
741280,47.55974,-117.49989
741281,47.56335,-117.5
741282,47.56701,-117.49471
741283,47.5709,-117.46802
741284,47.57156153,-117.4616619
741285,47.57429,-117.48936
741286,47.57799,-117.47863
741287,47.57805,-117.47333
741288,47.58165997,-117.4734
741289,47.58891,-117.4892
741290,47.59258,-117.46798
741291,47.59618,-117.48369
741292,47.59632,-117.4944
741293,47.59632,-117.4944
741294,47.6061,-117.4648
741295,47.5891,-117.4838
741296,47.5458,-117.465
741297,47.6061,-117.4647
741298,47.5745,-117.4865
741299,47.57063,-117.49473
741300,47.59259,-117.48912
741301,47.5713,-117.4835
741302,47.5487,-117.5012
741303,47.5585,-117.5016
741304,47.5745,-117.4677
741305,47.6006,-117.4801
741306,47.5562,-117.4941
741307,47.5626,-117.4938
741308,47.5626,-117.4938
741309,47.5989,-117.501
741310,47.5423,-117.4843
741311,47.5979,-117.4595
741312,47.55219,-117.4758
741313,47.56886,-117.4914
741314,47.53164,-117.4928
741315,47.59353,-117.4959
741316,47.60726,-117.5011
741317,47.57678,-117.4632
741318,47.53734,-117.4599
741319,47.53559,-117.4632
741320,47.56012001,-117.4574
741321,47.56375,-117.45751
741322,47.58547,-117.45764
741323,47.58547,-117.45764
741326,47.54545,-117.81949
741327,47.53765,-117.8186
741328,47.5436,-117.8112
741329,47.5951,-117.8029
741330,47.56376,-117.79823
741331,47.57936,-117.7892
741332,47.56744,-117.77144
741333,47.59603,-117.7703
741334,47.55651,-117.76593
741335,47.57374289,-117.7624692
741336,47.63071,-117.7577
741337,47.5309,-117.747
741338,47.5598,-117.7466
741339,47.57897,-117.7354
741340,47.6134,-117.7309
741341,47.59,-117.73
741342,47.5447,-117.7279
741343,47.59488809,-117.7263386
741344,47.60746,-117.723
741345,47.57477,-117.7227
741346,47.62112,-117.7213
741347,47.58792,-117.7363
741349,47.5581,-117.6028
741350,47.5525,-117.6017
741351,47.5601,-117.5969
741352,47.561653,-117.596167
741353,47.5595,-117.5954
741354,47.54515,-117.5945
741355,47.54554998,-117.5942
741356,47.56008999,-117.5942
741357,47.56511,-117.5931
741358,47.5773,-117.5905
741359,47.54191,-117.58887
741360,47.5346,-117.58354
741361,47.53099,-117.5781
741362,47.55617,-117.55379
741363,47.54176,-117.55336
741364,47.53092,-117.5531
741365,47.5434,-117.5519
741366,47.5434,-117.5519
741367,47.541,-117.5491
741368,47.56668,-117.54902
741369,47.5755,-117.5484
741370,47.54169,-117.54801
741371,47.57739,-117.54377
741372,47.57375,-117.54374
741373,47.5701,-117.54371
741374,47.58145,-117.5841
741375,47.57789,-117.543
741376,47.57,-117.6105
741377,47.5523,-117.6115
741378,47.56275,-117.5979
741379,47.56673,-117.6062
741380,47.53240419,-117.3873787
741381,47.532728,-117.399306
741382,47.53471,-117.39783
741383,47.53496,-117.3956
741384,47.5441,-117.3957
741385,47.54544,-117.37669
741386,47.54562,-117.3983
741387,47.54562,-117.3983
741388,47.54572,-117.40373
741389,47.5511,-117.3791
741390,47.55647,-117.3937
741391,47.55648,-117.3878
741392,47.5566,-117.39859
741393,47.55682,-117.4094
741394,47.55722,-117.3884
