fid,LATITUDE,LONGITUDE,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
737395,47.4881,-117.5241,45,267,711,6,8,25,45,188,0,0,0
737396,47.5,-117.5,35,-1,727,1,6,8,35,183,0,0,0
737397,47.50027778,-117.5230556,0,-1,702,1,0,0,0,103,0,0,0
737398,47.51,-117.51596,35,-1,702,1,6,24,35,162,10,16,5
737399,47.51351,-117.48937,35,-1,727,0,6,10,35,162,9,8,3
737400,47.51351,-117.48937,35,-1,727,0,6,10,35,162,9,8,3
737401,47.51386,-117.47881,0,-1,696,1,0,0,0,102,0,0,0
737402,47.51386,-117.47881,0,-1,696,1,0,0,0,102,0,0,0
737403,47.51691,-117.49982,35,-1,709,1,6,24,35,162,10,16,5
737404,47.517,-117.4866,35,-1,708,1,6,12,35,183,9,8,3
737405,47.51713,-117.5105,35,34,699,3,6,10,35,162,0,0,0
737406,47.5173,-117.48399,0,-1,708,1,0,0,0,91,29,24,11
737407,47.5176,-117.5187,0,297,675,12,0,0,0,122,0,0,0
737408,47.52037,-117.52105,0,-1,662,1,0,0,0,103,88,79,40
737409,47.52045,-117.51575,45,41,678,8,8,9,45,188,9,8,4
737410,47.5216,-117.4897,35,333,702,4,6,12,35,183,10,16,5
737411,47.52358,-117.51036,35,-1,665,1,6,12,35,183,0,0,0
737412,47.52363,-117.51572,35,228,674,5,6,24,35,162,77,73,35
737413,47.52363,-117.51572,35,228,674,5,6,24,35,162,77,73,35
737414,47.5245481,-117.5052479,35,282,700,9,6,10,35,162,0,0,0
737415,47.5263,-117.4801,45,254,690,6,8,12,45,188,8,8,4
737416,47.5272,-117.4775,35,236,703,3,9,3,35,162,24,24,11
737417,47.52729,-117.48909,25,-1,697,1,6,9,25,162,30,49,14
737418,47.53075,-117.52108,45,161,702,3,8,25,45,188,10,8,3
737419,47.515,-117.4864,35,99,724,6,6,10,35,162,9,8,3
737420,47.5261,-117.5161,45,46,694,13,8,25,45,188,9,8,4
737421,47.5307,-117.5027,25,-1,702,1,4,36,25,162,0,0,0
737422,47.5218,-117.5219,35,131,666,4,6,8,35,183,109,97,47
737423,47.5154,-117.5195,45,-1,678,2,8,25,45,188,5,9,2
737424,47.51026,-117.4736,0,283,697,3,0,0,0,91,45,41,17
737425,47.51026,-117.4736,0,283,697,3,0,0,0,91,45,41,17
737428,47.4911,-117.4712,0,-1,708,2,0,0,0,91,40,50,22
737429,47.4922,-117.4899,0,-1,701,1,0,0,0,121,8,8,3
737430,47.5286,-117.504,35,247,700,8,6,10,35,162,0,0,0
737431,47.53035,-117.5503,0,262,751,3,0,0,0,102,20,16,7
737432,47.52079,-117.4772,0,-1,690,0,0,0,0,123,29,24,11
737433,47.51674,-117.5199,0,302,663,4,0,0,0,98,7,0,0
737434,47.49858,-117.4786,0,154,698,3,0,0,0,102,0,0,0
737435,47.51196213,-117.8200819,0,-1,729,1,0,0,0,122,28,25,12
738224,47.43252,-117.77101,0,-1,700,2,0,0,0,102,40,41,15
738226,47.41841,-117.8133,0,-1,699,1,0,0,0,91,0,0,0
738228,47.28015,-117.76614,0,357,647,15,0,0,0,122,0,0,0
738232,47.3567,-117.8139,35,88,650,6,9,4,35,183,0,0,0
738234,47.36034,-117.81992,35,121,618,20,6,10,35,162,0,0,0
738235,47.35307,-117.81987,25,308,647,4,6,3,25,162,0,0,0
738237,47.42894904,-117.8160937,0,128,694,3,0,0,0,142,0,0,0
738238,47.40889629,-117.7909407,25,334,691,3,6,9,25,162,0,0,0
738239,47.43333333,-117.7666667,35,-1,696,1,9,3,35,162,72,73,27
738241,47.3756,-117.7928,0,-1,678,1,0,0,0,122,0,0,0
738242,47.3847,-117.8081,25,108,670,3,6,3,25,183,0,0,0
738243,47.3669,-117.8006,0,-1,671,2,0,0,0,102,0,0,0
738249,47.3554,-117.8083,0,-1,671,1,0,0,0,102,0,0,0
738257,47.42881,-117.78719,0,-1,698,1,0,0,0,99,30,24,12
738258,47.42881001,-117.7872,0,-1,698,1,0,0,0,99,30,24,12
738259,47.42768,-117.7682,35,-1,687,1,6,8,35,183,0,0,0
738261,47.43239,-117.79228,0,-1,699,2,0,0,0,122,22,57,12
738262,47.43235,-117.79767,25,319,709,5,6,9,25,162,23,24,10
738478,47.3669,-117.8142,0,167,639,5,0,0,0,102,0,0,0
738479,47.41484,-117.81327,0,79,692,3,0,0,0,142,0,0,0
738480,47.3846,-117.8091,0,94,676,7,0,0,0,123,0,0,0
738481,47.33488,-117.80875,0,-1,620,0,0,0,0,103,0,0,0
738482,47.4147,-117.80795,25,-1,693,0,6,9,25,162,0,0,0
738483,47.41804,-117.80265,0,-1,691,2,0,0,0,101,0,0,0
738484,47.4215,-117.79744,0,-1,705,1,0,0,0,122,29,49,15
738485,47.35666,-117.79237,0,132,651,12,0,0,0,102,0,0,0
738486,47.3406,-117.7871,0,337,656,7,0,0,0,102,0,0,0
738487,47.4216,-117.7857,25,116,691,4,6,3,25,183,95,73,39
738488,47.3332,-117.7844,0,-1,671,1,0,0,0,102,0,0,0
738489,47.3646,-117.7838,0,248,667,3,0,0,0,102,0,0,0
738490,47.4231,-117.7836,35,-1,692,1,9,4,35,183,70,57,29
738491,47.345,-117.7798,0,127,650,7,0,0,0,102,0,0,0
738492,47.4035,-117.7623,35,284,683,7,6,37,35,162,0,0,0
738493,47.4034,-117.7532,0,-1,699,2,0,0,0,102,0,0,0
738494,47.2947,-117.74997,0,-1,613,2,0,0,0,102,0,0,0
738495,47.35674998,-117.7493,0,-1,681,1,0,0,0,102,0,0,0
738496,47.41512,-117.7436,0,-1,701,2,0,0,0,142,0,0,0
738497,47.34115537,-117.742065,0,119,667,10,0,0,0,102,0,0,0
738498,47.40042,-117.72826,0,137,712,9,0,0,0,102,0,0,0
738499,47.42578,-117.72815,0,-1,711,0,0,0,0,99,0,0,0
738500,47.2672,-117.7258,0,-1,669,2,0,0,0,93,0,0,0
738501,47.3821,-117.7225,25,94,689,8,6,9,25,162,0,0,0
738502,47.3789,-117.8117,0,123,673,5,0,0,0,123,0,0,0
738503,47.4214,-117.7756,35,160,684,4,9,16,35,122,44,41,20
738504,47.3744,-117.8119,0,143,651,6,0,0,0,102,0,0,0
738505,47.2897,-117.7901,0,87,609,5,0,0,0,102,0,0,0
738506,47.42279,-117.7976,0,-1,698,2,0,0,0,182,39,65,20
738507,47.41512,-117.8182,0,-1,695,1,0,0,0,122,0,0,0
738508,47.41127,-117.817,0,-1,690,0,0,0,0,121,0,0,0
738509,47.42897,-117.76025,35,114,698,5,9,3,35,162,53,49,24
738510,47.42894,-117.7656,0,-1,690,1,0,0,0,122,27,24,12
738511,47.42574,-117.7619,35,55,692,6,6,27,35,162,0,0,0
738529,47.44191,-117.7828,0,-1,696,0,0,0,0,91,0,0,0
738531,47.51371,-117.81954,35,97,730,3,9,4,35,183,37,32,16
738532,47.50647,-117.8195,0,-1,724,1,0,0,0,121,28,24,13
738533,47.51729,-117.81417,0,-1,725,0,0,0,0,122,40,34,17
738534,47.4578,-117.8081,0,-1,705,1,0,0,0,122,33,16,11
738535,47.52045,-117.80348,25,133,730,3,6,3,25,162,65,57,27
738536,47.45526,-117.80293,0,134,699,3,0,0,0,123,0,0,0
738537,47.47693,-117.79766,35,-1,705,2,6,37,35,162,0,0,0
738538,47.5133,-117.79276,0,-1,711,1,0,0,0,103,9,8,4
738539,47.52033,-117.79273,35,237,716,5,6,24,35,162,56,49,25
738540,47.45518,-117.7924,0,-1,699,2,0,0,0,123,0,0,0
738541,47.45153,-117.78708,35,-1,702,1,6,10,35,162,26,73,19
738542,47.52017001,-117.782,35,-1,740,1,6,10,35,162,7,8,3
738543,47.51294,-117.78201,0,-1,729,1,0,0,0,123,0,0,0
738544,47.50961626,-117.7779354,45,258,734,5,8,12,45,188,0,0,0
738545,47.49127,-117.7763,25,-1,720,0,6,9,25,162,49,57,24
738546,47.44086997,-117.7657,0,-1,699,0,0,0,0,142,0,0,0
738547,47.52004998,-117.7553,35,-1,727,1,9,4,35,183,0,0,0
738548,47.44102,-117.7497,0,-1,693,0,0,0,0,102,8,8,3
738549,47.44446001,-117.7443,25,127,695,5,4,23,25,162,0,0,0
738550,47.487,-117.7438,45,-1,721,1,12,3,45,183,0,0,0
738551,47.44437,-117.76575,35,-1,699,1,6,8,35,183,0,0,0
738552,47.47315,-117.77662,25,-1,722,2,6,9,25,162,60,49,20
738553,47.52051,-117.81955,35,-1,735,2,9,3,35,162,0,0,0
738554,47.50202,-117.77125,35,-1,722,2,6,8,35,183,92,73,36
738555,47.49492,-117.78697,35,-1,705,2,9,4,35,183,10,8,5
738556,47.46956,-117.78189,35,-1,710,1,6,10,35,162,42,49,21
738557,47.49922,-117.81925,0,-1,721,1,0,0,0,102,0,0,0
738558,47.46951,-117.77664,25,-1,723,1,6,9,25,162,70,57,24
738559,47.4912,-117.76062,0,-1,736,2,0,0,0,122,0,0,0
738560,47.4587,-117.811,0,-1,708,0,0,0,0,123,71,24,21
738561,47.4732,-117.8108,35,-1,712,0,9,3,35,162,18,16,9
738562,47.4978,-117.793,35,-1,721,1,6,24,35,162,21,16,9
738563,47.4698,-117.7808,0,-1,712,2,0,0,0,91,42,49,21
738564,47.4677,-117.7713,0,-1,712,1,0,0,0,102,0,0,0
738565,47.4875,-117.7895,0,-1,699,0,0,0,0,103,0,0,0
738566,47.4585,-117.7684,0,-1,706,1,0,0,0,122,10,8,4
738567,47.4884,-117.7943,35,-1,712,1,6,10,35,162,0,0,0
738568,47.4514,-117.7715,25,-1,699,0,6,7,25,183,0,0,0
738569,47.4368,-117.7765,35,-1,699,0,6,10,35,162,30,32,14
738570,47.4777,-117.814,0,-1,716,1,0,0,0,122,18,16,9
738571,47.4443,-117.7723,35,-1,699,0,6,10,35,162,0,0,0
738572,47.43594,-117.7859,35,-1,699,0,6,8,35,183,77,89,35
738573,47.45501,-117.8141,35,-1,704,1,6,10,35,162,71,24,21
738574,47.5101,-117.8139,25,-1,729,2,6,7,25,183,58,49,26
