longitude,latitude,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
-117.3577542,47.92182627,45.0,67.0,576.0,4.0,8.0,5.0,45.0,188.0,10.0,8.0,4.0
-117.7975706,47.40413696,0.0,172.0,694.0,3.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0
-117.2029593,47.8335729,0.0,144.0,633.0,18.0,0.0,0.0,0.0,122.0,50.0,41.0,20.0
-117.6022489,47.53624901,0.0,-1.0,793.0,2.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.1130483,47.97564295,45.0,289.0,1009.0,21.0,8.0,12.0,45.0,165.0,0.0,0.0,0.0
-117.4793952,47.70995971,0.0,-1.0,580.0,0.0,0.0,0.0,0.0,101.0,29.0,8.0,12.0
-117.4629857,47.671245,0.0,99.0,530.0,3.0,0.0,0.0,0.0,91.0,3485.0,529.0,1287.0
-117.2172983,47.66674281,0.0,-1.0,629.0,1.0,0.0,0.0,0.0,91.0,1684.0,600.0,726.0
-117.1788254,47.65262135,0.0,-1.0,621.0,1.0,0.0,0.0,0.0,103.0,532.0,211.0,229.0
-117.3779746,47.83158312,25.0,-1.0,502.0,2.0,1.0,100.0,25.0,122.0,125.0,95.0,50.0
-117.5198071,47.96138493,0.0,-1.0,651.0,1.0,0.0,0.0,0.0,121.0,46.0,49.0,17.0
-117.4935547,47.47898912,45.0,316.0,699.0,3.0,12.0,3.0,45.0,183.0,0.0,0.0,0.0
-117.0496994,47.45504738,0.0,115.0,795.0,4.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.0624424,47.54034288,35.0,110.0,844.0,7.0,6.0,12.0,35.0,142.0,0.0,0.0,0.0
-117.5846746,47.4417798,35.0,-1.0,700.0,1.0,6.0,36.0,35.0,122.0,0.0,0.0,0.0
-117.2608311,47.70373868,0.0,229.0,658.0,8.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.4674256,48.0032719,0.0,-1.0,664.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.1994992,47.34460991,0.0,221.0,768.0,5.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.4505048,47.70824166,0.0,-1.0,625.0,0.0,0.0,0.0,0.0,91.0,2745.0,1371.0,976.0
-117.1550624,47.83154567,0.0,184.0,848.0,11.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.3017206,47.85204189,0.0,323.0,570.0,4.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.4003357,47.69837303,0.0,-1.0,626.0,1.0,0.0,0.0,0.0,91.0,3110.0,1646.0,1206.0
-117.7979303,47.26035039,0.0,-1.0,644.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0
-117.5307101,47.41757927,25.0,-1.0,688.0,1.0,6.0,5.0,25.0,183.0,11.0,41.0,2.0
