longitude,latitude,year,DOY,Precip,RH,Tmax,WindSpeed
-117.3577542,47.92182627,2021,66,0.0,88.7,272.9,2.0
-117.7975706,47.40413696,2018,323,0.0,87.60000000000001,273.4,1.7000000000000002
-117.2029593,47.8335729,2022,356,0.0,93.5,272.0,2.1
-117.6022489,47.53624901,2019,208,0.0,86.9,273.5,1.7000000000000002
-117.1130483,47.97564295,2021,54,0.0,83.60000000000001,272.6,2.1
-117.4793952,47.70995971,2017,221,0.0,88.0,273.5,2.0
-117.4629857,47.671245,2021,236,0.0,88.0,273.5,2.0
-117.2172983,47.66674281,2022,100,0.0,88.30000000000001,273.3,2.0
-117.1788254,47.65262135,2019,103,0.0,87.10000000000001,273.3,2.0
-117.3779746,47.83158312,2018,182,0.0,88.9,273.1,2.0
-117.5198071,47.96138493,2022,108,0.0,90.9,273.1,2.0
-117.4935547,47.47898912,2022,12,0.0,86.5,273.2,1.7000000000000002
-117.0496994,47.45504738,2017,343,0.0,81.5,272.8,1.8
-117.0624424,47.54034288,2020,86,0.0,85.7,272.3,1.9000000000000001
-117.5846746,47.4417798,2019,288,0.0,87.4,273.0,1.6
-117.2608311,47.70373868,2016,327,0.0,89.7,273.2,2.0
-117.4674256,48.0032719,2022,214,0.0,87.2,273.3,2.0
-117.1994992,47.34460991,2020,44,0.0,84.0,272.7,1.8
-117.4505048,47.70824166,2016,322,0.0,87.30000000000001,273.6,2.0
-117.1550624,47.83154567,2019,78,0.0,95.2,271.8,2.1
-117.3017206,47.85204189,2015,55,0.0,89.9,272.8,2.0
-117.4003357,47.69837303,2020,272,0.0,88.0,273.5,2.0
-117.7979303,47.26035039,2023,344,0.0,89.10000000000001,273.1,1.7000000000000002
-117.5307101,47.41757927,2015,71,0.0,87.5,272.9,1.6
-117.6642522,47.72862101,2017,68,0.0,91.10000000000001,272.5,2.0
-117.7239351,47.33084243,2021,180,0.0,89.60000000000001,273.0,1.7000000000000002
-117.7259086,47.80966336,2018,174,0.0,92.7,272.6,2.0
-117.323739,47.69701592,2023,169,0.0,89.2,273.2,2.0
-117.4283815,47.68179472,2017,261,0.0,87.30000000000001,273.6,2.0
-117.3663098,47.52025393,2019,125,0.0,87.2,273.1,1.8
-117.189676,47.33639692,2017,131,0.0,83.5,272.8,1.7000000000000002
-117.4782683,47.72178426,2021,234,0.0,92.60000000000001,272.6,2.0
-117.2847516,47.32826236,2019,154,0.0,85.30000000000001,272.7,1.7000000000000002
-117.126317,47.95628208,2023,330,0.0,97.9,270.3,2.0
-117.4660388,47.85340505,2021,125,0.0,91.2,272.6,2.0
-117.1019805,47.97881551,2016,354,0.0,83.60000000000001,272.6,2.1
-117.6037352,47.38442033,2018,100,0.0,88.0,272.9,1.6
-117.1919134,47.77314821,2023,53,0.0,91.80000000000001,272.1,2.1
-117.8145183,47.37662241,2016,332,0.0,89.2,273.3,1.7000000000000002
-117.5787163,47.42853662,2023,128,0.0,87.5,273.0,1.6
-117.731169,47.33367701,2019,14,0.0,89.60000000000001,273.0,1.7000000000000002
-117.1731759,47.44025331,2016,5,0.0,85.2,272.5,1.8
-117.5155396,47.42282022,2018,250,0.0,87.5,273.0,1.6
-117.2030804,47.81363835,2021,27,0.0,93.5,272.0,2.1
-117.1266146,47.70002028,2022,125,0.0,88.0,273.2,2.0
-117.3759832,47.51312421,2017,29,0.0,89.9,272.6,1.8
-117.7644881,47.27450516,2015,3,0.0,89.9,272.9,1.7000000000000002
-117.460063,47.34347277,2018,228,0.0,87.2,272.9,1.6
-117.4558815,47.87994368,2016,137,0.0,91.2,272.9,2.0
-117.1530882,47.63802109,2022,257,0.0,85.0,273.5,2.0
-117.5331249,47.3943926,2018,240,0.0,87.5,272.9,1.6
-117.1526399,47.70189602,2016,279,0.0,88.0,273.2,2.0
-117.7338218,47.41122166,2020,323,0.0,88.0,273.1,1.7000000000000002
-117.0556702,47.85338529,2020,160,0.0,100.0,269.9,2.1
-117.2289795,47.44358535,2018,6,0.0,87.4,272.4,1.8
-117.2456683,47.75252253,2020,305,0.0,92.60000000000001,272.3,2.0
-117.0430597,47.53289631,2016,143,0.0,85.7,272.3,1.9000000000000001
-117.441402,47.79997841,2016,181,0.0,91.10000000000001,272.8,2.0
-117.3207256,47.35138131,2018,30,0.0,85.60000000000001,272.8,1.7000000000000002
-117.0951344,47.43353817,2022,253,0.0,81.80000000000001,272.8,1.8
-117.3591636,47.46962151,2021,40,0.0,88.5,272.7,1.7000000000000002
-117.5564148,47.5628413,2023,187,0.0,89.7,272.7,1.8
-117.7071343,47.3022114,2022,319,0.0,89.60000000000001,273.0,1.7000000000000002
-117.4034392,47.57195055,2019,304,0.0,88.10000000000001,273.2,1.8
-117.5350191,47.76099845,2016,227,0.0,90.0,273.1,2.0
-117.3162059,47.4982518,2019,220,0.0,87.80000000000001,272.8,1.7000000000000002
-117.2874569,47.65560552,2022,324,0.0,87.7,273.4,2.0
-117.4655876,47.27729318,2023,43,0.0,89.10000000000001,272.9,1.6
-117.5225283,47.77896827,2023,144,0.0,90.0,273.1,2.0
-117.5298823,47.49196802,2015,278,0.0,87.0,273.2,1.7000000000000002
-117.6354044,47.7530474,2023,319,0.0,93.2,272.3,2.0
-117.3591483,47.63257049,2021,174,0.0,87.9,273.4,1.9000000000000001
-117.5736948,47.69692085,2023,247,0.0,94.0,272.5,2.0
-117.3977446,47.80150558,2022,173,0.0,88.9,273.1,2.0
-117.5946591,47.67433465,2015,41,0.0,96.10000000000001,272.5,2.0
-117.1476248,47.90406957,2022,50,0.0,100.0,269.8,2.1
-117.1082591,47.27036276,2022,323,0.0,82.30000000000001,272.2,1.7000000000000002
-117.3748738,47.57846651,2017,180,0.0,88.10000000000001,273.2,1.8
-117.6709667,47.47344077,2015,342,0.0,86.7,273.5,1.7000000000000002
-117.0811083,47.76768371,2022,159,0.0,89.5,272.7,2.1
-117.2646121,47.39349248,2017,37,0.0,86.60000000000001,272.6,1.7000000000000002
-117.1009029,47.82552735,2017,27,0.0,96.7,272.2,2.1
-117.399847,47.84306229,2015,256,0.0,91.60000000000001,272.6,2.0
-117.3875458,47.55617546,2019,278,0.0,88.10000000000001,273.2,1.8
-117.3204141,47.30786062,2021,249,0.0,86.30000000000001,272.7,1.7000000000000002
-117.1184099,48.01076586,2023,181,0.0,84.2,271.8,2.1
-117.3205441,47.61788118,2021,17,0.0,88.9,272.3,1.9000000000000001
-117.1181887,47.92542029,2023,125,0.0,88.30000000000001,270.6,2.0
-117.4400817,47.31231421,2022,312,0.0,86.5,273.0,1.6
-117.4426176,47.91274325,2016,212,0.0,92.4,273.1,2.0
-117.6642869,47.76476906,2015,237,0.0,91.5,272.3,2.0
-117.2681016,47.9975792,2021,299,0.0,87.10000000000001,272.9,2.0
-117.5299278,47.5442725,2021,200,0.0,86.4,273.4,1.7000000000000002
-117.7393926,47.81660706,2022,181,0.0,92.7,272.6,2.0
-117.5586138,47.73754291,2019,130,0.0,94.4,272.8,2.0
-117.1826738,47.81095877,2017,121,0.0,93.5,272.0,2.1
-117.4637243,47.65353407,2022,187,0.0,92.10000000000001,273.4,1.9000000000000001
-117.6232256,47.62312561,2020,227,0.0,86.4,273.4,1.8
-117.2659641,47.71621471,2017,162,0.0,92.0,272.5,2.0
-117.7351678,47.49397609,2015,112,0.0,86.5,273.6,1.7000000000000002
-117.5200447,47.61685059,2017,134,0.0,91.5,272.6,1.8
-117.4106035,47.66437898,2019,186,0.0,89.5,273.2,1.9000000000000001
-117.4329538,47.9761632,2017,175,0.0,86.30000000000001,273.2,2.0
-117.7843674,47.58923294,2015,261,0.0,86.9,273.3,1.9000000000000001
-117.3279797,47.4289599,2019,317,0.0,88.30000000000001,272.5,1.7000000000000002
-117.1285389,47.86979959,2021,312,0.0,100.0,270.7,2.1
-117.36581,47.31360166,2021,358,0.0,87.0,272.7,1.7000000000000002
-117.6551876,47.82410166,2023,269,0.0,92.30000000000001,272.7,2.0
-117.43142,48.03279633,2017,282,0.0,87.5,272.9,2.0
-117.7341824,47.6404211,2021,224,0.0,87.60000000000001,273.0,1.9000000000000001
-117.6456412,47.6353648,2015,252,0.0,94.30000000000001,272.8,1.9000000000000001
-117.113059,47.5659245,2018,64,0.0,91.0,270.6,1.9000000000000001
-117.7409602,47.72050789,2018,318,0.0,90.9,272.6,2.0
-117.3243678,47.80840337,2019,124,0.0,92.60000000000001,272.5,2.1
-117.1468311,47.62713134,2021,70,0.0,87.0,272.8,1.9000000000000001
-117.0582292,47.51556321,2021,238,0.0,85.7,272.3,1.9000000000000001
-117.3930105,47.41066024,2018,75,0.0,86.2,272.8,1.7000000000000002
-117.5108965,47.39670158,2021,10,0.0,87.5,272.9,1.6
-117.0416915,47.45434535,2017,268,0.0,81.5,272.8,1.8
-117.7606238,47.77630207,2020,88,0.0,91.9,272.3,2.0
-117.6666848,47.34477139,2016,50,0.0,87.4,273.0,1.6
-117.3790228,47.40095613,2023,143,0.0,86.2,272.8,1.7000000000000002
-117.3823666,47.50699777,2019,59,0.0,89.9,272.6,1.8
-117.3989211,47.29451418,2020,318,0.0,88.80000000000001,272.6,1.7000000000000002
-117.413869,48.04304024,2018,211,0.0,87.5,272.9,2.0
-117.7286222,47.75170692,2021,72,0.0,90.9,272.6,2.0
-117.7318296,47.46782137,2023,244,0.0,86.5,273.6,1.7000000000000002
-117.0609834,47.59673551,2021,239,0.0,90.60000000000001,271.2,2.0
-117.0863393,47.77095224,2015,190,0.0,89.5,272.7,2.1
-117.4764369,47.38682216,2015,50,0.0,86.9,272.9,1.6
-117.2487301,48.04279427,2023,205,0.0,87.4,272.7,2.0
-117.3840258,47.79110146,2023,54,0.0,89.5,273.1,2.0
-117.3873526,47.64924235,2018,310,0.0,89.5,273.2,1.9000000000000001
-117.7457707,47.43523663,2023,224,0.0,86.9,273.2,1.7000000000000002
-117.1132007,47.40092982,2017,156,0.0,81.9,272.8,1.8
-117.3009652,47.72938405,2021,360,0.0,90.9,272.7,2.0
-117.096533,48.04042548,2020,51,0.0,84.2,271.8,2.1
-117.4282265,47.80029238,2022,241,0.0,91.10000000000001,272.8,2.0
-117.1985328,47.27626758,2023,330,0.0,82.7,272.7,1.7000000000000002
-117.1665607,47.82268943,2019,161,0.0,93.5,272.0,2.1
